,Test_score,Train_score,Test_score_drop,Accuracy,Precision,Recall,F1_score,Confusion_matrix
"LogisticRegression(max_iter=300, n_jobs=-1, random_state=42)",0.902461257976299,0.8994871794871795,0.0033064156520997397,0.902461257976299,0.47619047619047616,0.09433962264150944,0.15748031496062992,"[[1960   22]
 [ 192   20]]"
"RandomForestClassifier(max_depth=20, n_jobs=-1, random_state=42)",0.9015496809480401,0.9656980056980057,-0.06642689989154447,0.9015496809480401,0.3888888888888889,0.0330188679245283,0.06086956521739131,"[[1971   11]
 [ 205    7]]"
"RandomForestClassifier(max_depth=10, n_jobs=-1, random_state=42)",0.9010938924339107,0.9256980056980056,-0.026578984844568904,0.9010938924339107,0.2222222222222222,0.009433962264150943,0.018099547511312215,"[[1975    7]
 [ 210    2]]"
"LogisticRegression(n_jobs=-1, random_state=42)",0.9006381039197813,0.8977777777777778,0.0031860068413405197,0.9006381039197813,0.42105263157894735,0.07547169811320754,0.128,"[[1960   22]
 [ 196   16]]"
"RandomForestClassifier(n_jobs=-1, random_state=42)",0.9001823154056517,0.9656980056980057,-0.06784283482598605,0.9001823154056517,0.23076923076923078,0.014150943396226415,0.026666666666666665,"[[1972   10]
 [ 209    3]]"
"RandomForestClassifier(max_features='sqrt', n_jobs=-1, random_state=42)",0.9001823154056517,0.9656980056980057,-0.06784283482598605,0.9001823154056517,0.23076923076923078,0.014150943396226415,0.026666666666666665,"[[1972   10]
 [ 209    3]]"
"RandomForestClassifier(max_features='log2', n_jobs=-1, random_state=42)",0.9001823154056517,0.9656980056980057,-0.06784283482598605,0.9001823154056517,0.23076923076923078,0.014150943396226415,0.026666666666666665,"[[1972   10]
 [ 209    3]]"
"KNeighborsClassifier(n_jobs=-1, weights='distance')",0.8924339106654512,0.9634188034188034,-0.07368020273369594,0.8924339106654512,0.26,0.06132075471698113,0.09923664122137404,"[[1945   37]
 [ 199   13]]"
KNeighborsClassifier(n_jobs=-1),0.8919781221513218,0.9018803418803418,-0.01097952718248054,0.8919781221513218,0.24489795918367346,0.05660377358490566,0.09195402298850576,"[[1945   37]
 [ 200   12]]"
