,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
5061,"Instant soup, noodle with egg, shrimp or chicken",3802,Soups,1.55,85.69,0.4,0,0.055,0.035,0.74,0.005,0.04,12,0.0,6,0.62,5,28,286,0.1,67,0.3,2.68,1.235,0.937,0.334,0,0.0,,
5062,Wonton soup,3802,Soups,2.08,91.18,0.2,1,0.024,0.016,0.58,0.076,0.09,13,0.7,5,0.21,3,32,406,0.12,32,0.34,0.26,0.062,0.077,0.071,4,0.0,,
5063,"Noodle soup with vegetables, Asian style",3802,Soups,1.91,82.12,1.4,30,0.031,0.032,0.38,0.053,0.0,10,5.1,18,0.57,8,98,192,0.39,74,1.37,1.22,0.211,0.416,0.475,1,0.0,,
5064,"Noodle soup, with fish ball, shrimp, and dark green leafy vegetable",3802,Soups,4.46,82.51,0.7,19,0.026,0.044,1.175,0.053,0.22,17,3.5,40,0.33,9,115,184,0.36,76,0.24,1.7,0.338,0.525,0.632,20,0.0,,
5065,"Sopa seca, Mexican style, NFS",3802,Soups,2.66,71.2,1.1,33,0.127,0.078,1.402,0.078,0.01,36,4.0,16,1.14,14,153,413,0.37,140,2.02,6.41,2.235,2.158,1.585,8,0.0,,
5066,"Sopa Seca de Fideo, Mexican style, made with dry noodles, home recipe",3802,Soups,3.12,71.91,1.3,35,0.141,0.108,1.546,0.073,0.01,34,4.2,15,0.99,16,159,422,0.38,139,2.24,6.88,2.384,2.289,1.715,8,0.0,,
5067,"Sopa de Fideo Aguada, Mexican style noodle soup, home recipe",3802,Soups,3.3,83.71,0.4,8,0.084,0.104,1.956,0.081,0.0,17,2.7,7,0.46,9,157,132,0.25,80,2.16,3.52,0.63,1.507,1.188,3,0.0,,
5068,"Sopa seca de arroz, home recipe, Mexican style",3802,Soups,2.32,69.07,1.0,33,0.122,0.05,1.297,0.082,0.01,42,3.9,17,1.29,12,137,400,0.36,150,1.7,6.41,2.253,2.187,1.569,8,0.0,,
5069,"Sopa de tortilla, Mexican style tortilla soup, home recipe",3802,Soups,4.86,78.77,0.7,32,0.045,0.098,1.424,0.091,0.21,7,2.5,83,0.33,13,147,277,0.56,117,2.15,7.59,2.728,2.738,1.422,12,0.4,,
5070,"Macaroni, tomatoes, and beef, baby food, NS as to strained or junior",9008,Baby food: meat and dinners,2.43,86.52,1.2,40,0.043,0.049,0.733,0.052,0.2,9,0.9,16,0.41,10,92,36,0.45,60,2.26,1.28,0.448,0.52,0.136,6,0.0,,
5071,"Macaroni, tomatoes, and beef, baby food, strained",9008,Baby food: meat and dinners,2.36,86.34,1.2,44,0.038,0.043,0.715,0.056,0.15,9,0.3,17,0.46,12,112,38,0.54,61,2.09,1.47,0.486,0.594,0.193,7,0.0,,
5072,"Macaroni, tomatoes, and beef, baby food, junior",9008,Baby food: meat and dinners,2.5,86.7,1.1,35,0.048,0.055,0.751,0.047,0.24,9,1.5,14,0.36,7,72,35,0.36,59,2.43,1.1,0.411,0.447,0.079,4,0.0,,
5073,"Macaroni with beef and tomato sauce, baby food, toddler",9008,Baby food: meat and dinners,4.34,81.81,1.1,3,0.06,0.06,1.34,0.09,0.23,10,1.9,12,0.8,15,148,35,0.48,82,0.37,1.9,0.705,0.782,0.14,7,0.0,,
5074,"Macaroni and cheese, baby food, strained",9008,Baby food: meat and dinners,2.87,85.88,0.5,22,0.047,0.07,0.53,0.026,0.15,11,0.7,58,0.26,8,56,136,0.36,64,1.3,2.06,1.233,0.558,0.117,6,0.0,,
