,Food name,Category number,Category name,Protein (g),Water (g),"Fiber, total dietary (g)","Vitamin A, RAE (mcg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Vitamin B-12 (mcg),"Folate, total (mcg)",Vitamin C (mg),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Sodium (mg),Zinc (mg),Energy (kcal),"Sugars, total (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Vitamin D (D2 + D3) (mcg),Category 2,Category 3
0,"Milk, human",9602,Human milk,1.03,87.5,0.0,61,0.014,0.036,0.177,0.011,0.05,5,5.0,32,0.03,3,51,17,0.17,70,6.89,4.38,2.009,1.658,0.497,14,0.1,Milks,Animal
1,"Milk, NFS",1004,"Milk, reduced fat",3.34,89.04,0.0,59,0.057,0.137,0.11,0.06,0.56,1,0.1,126,0.0,12,157,39,0.42,51,4.89,1.99,1.164,0.426,0.065,8,1.1,Milks,Animal
2,"Milk, whole",1002,"Milk, whole",3.28,88.1,0.0,32,0.056,0.138,0.105,0.061,0.54,0,0.0,123,0.0,12,150,38,0.41,60,4.81,3.2,1.86,0.688,0.108,12,1.1,Milks,Animal
3,"Milk, low sodium, whole",1002,"Milk, whole",3.1,88.2,0.0,29,0.02,0.105,0.043,0.034,0.36,5,0.9,101,0.05,5,253,3,0.38,61,4.46,3.46,2.154,0.999,0.128,14,1.3,Milks,Animal
4,"Milk, calcium fortified, whole",1002,"Milk, whole",3.28,88.1,0.0,32,0.056,0.138,0.105,0.061,0.54,0,0.0,123,0.0,12,150,38,0.41,60,4.81,3.2,1.86,0.688,0.108,12,1.1,Milks,Animal
5,"Milk, calcium fortified, low fat (1%)",1006,"Milk, lowfat",3.38,89.7,0.0,58,0.057,0.14,0.113,0.06,0.61,2,0.0,126,0.0,12,159,39,0.43,43,4.96,0.95,0.568,0.21,0.032,5,1.1,Milks,Animal
6,"Milk, calcium fortified, fat free (skim)",1008,"Milk, nonfat",3.4,90.8,0.0,137,0.036,0.14,0.088,0.04,0.38,5,1.0,204,0.04,11,166,52,0.4,35,4.85,0.18,0.117,0.047,0.007,2,1.2,Milks,Animal
7,"Milk, reduced fat (2%)",1004,"Milk, reduced fat",3.35,89.1,0.0,83,0.059,0.137,0.112,0.061,0.55,2,0.2,126,0.0,12,159,39,0.43,50,4.89,1.9,1.11,0.4,0.058,8,1.1,Milks,Animal
8,"Milk, acidophilus, low fat (1%)",1006,"Milk, lowfat",3.38,89.7,0.0,58,0.057,0.14,0.113,0.06,0.61,2,0.0,126,0.0,12,159,39,0.43,43,4.96,0.95,0.568,0.21,0.032,5,1.1,Milks,Animal
9,"Milk, acidophilus, reduced fat (2%)",1004,"Milk, reduced fat",3.35,89.1,0.0,83,0.059,0.137,0.112,0.061,0.55,2,0.2,126,0.0,12,159,39,0.43,50,4.89,1.9,1.11,0.4,0.058,8,1.1,Milks,Animal
10,"Milk, low fat (1%)",1006,"Milk, lowfat",3.38,89.7,0.0,58,0.057,0.14,0.113,0.06,0.61,2,0.0,126,0.0,12,159,39,0.43,43,4.96,0.95,0.568,0.21,0.032,5,1.1,Milks,Animal
11,"Milk, fat free (skim)",1008,"Milk, nonfat",3.43,90.8,0.0,64,0.056,0.131,0.118,0.058,0.58,2,0.0,132,0.0,12,167,41,0.45,34,5.05,0.08,0.049,0.017,0.006,3,1.1,Milks,Animal
12,"Milk, lactose free, low fat (1%)",1006,"Milk, lowfat",3.38,89.7,0.0,58,0.057,0.14,0.113,0.06,0.61,2,0.0,126,0.0,12,159,39,0.43,43,4.96,0.95,0.568,0.21,0.032,5,1.1,Milks,Animal
13,"Milk, lactose free, fat free (skim)",1008,"Milk, nonfat",3.43,90.8,0.0,64,0.056,0.131,0.118,0.058,0.58,2,0.0,132,0.0,12,167,41,0.45,34,5.05,0.08,0.049,0.017,0.006,3,1.1,Milks,Animal
14,"Milk, lactose free, reduced fat (2%)",1004,"Milk, reduced fat",3.35,89.1,0.0,83,0.059,0.137,0.112,0.061,0.55,2,0.2,126,0.0,12,159,39,0.43,50,4.89,1.9,1.11,0.4,0.058,8,1.1,Milks,Animal
15,"Milk, lactose free, whole",1002,"Milk, whole",3.28,88.1,0.0,32,0.056,0.138,0.105,0.061,0.54,0,0.0,123,0.0,12,150,38,0.41,60,4.81,3.2,1.86,0.688,0.108,12,1.1,Milks,Animal
16,"Buttermilk, fat free (skim)",1008,"Milk, nonfat",3.31,90.13,0.0,14,0.034,0.154,0.058,0.034,0.22,5,1.0,116,0.05,11,151,148,0.42,40,4.79,1.07,0.66,0.254,0.033,4,0.0,Milks,Animal
17,"Buttermilk, low fat (1%)",1006,"Milk, lowfat",3.31,90.13,0.0,14,0.034,0.154,0.058,0.034,0.22,5,1.0,116,0.05,11,151,148,0.42,40,4.79,1.07,0.66,0.254,0.033,4,0.0,Milks,Animal
18,"Buttermilk, reduced fat (2%)",1004,"Milk, reduced fat",4.1,87.7,0.0,16,0.05,0.21,0.1,0.03,0.37,6,1.5,143,0.06,13,180,105,0.24,56,5.3,2.0,1.242,0.576,0.071,8,0.0,Milks,Animal
19,"Buttermilk, whole",1002,"Milk, whole",3.21,87.91,0.0,47,0.047,0.172,0.09,0.036,0.46,5,0.0,115,0.03,10,135,105,0.38,62,4.88,3.31,1.899,0.827,0.198,11,1.3,Milks,Animal
20,"Kefir, NS as to fat content",1006,"Milk, lowfat",3.59,87.26,0.0,174,0.03,0.172,0.128,0.059,0.3,18,0.8,124,0.04,12,159,38,0.45,52,6.91,0.96,0.596,0.286,0.047,5,1.0,Milks,Animal
21,"Goat's milk, whole",1002,"Milk, whole",3.56,87.03,0.0,57,0.048,0.138,0.277,0.046,0.07,1,1.3,134,0.05,14,204,50,0.3,69,4.45,4.14,2.667,1.109,0.149,11,1.3,Milks,Animal
22,"Milk, dry, reconstituted, NS as to fat content",1008,"Milk, nonfat",3.2,91.34,0.0,58,0.037,0.137,0.084,0.032,0.36,4,0.6,114,0.03,11,159,51,0.37,32,4.6,0.07,0.044,0.018,0.003,2,1.0,Milks,Animal
23,"Milk, dry, reconstituted, whole",1002,"Milk, whole",4.01,85.04,0.0,39,0.043,0.184,0.099,0.046,0.5,6,1.3,142,0.07,14,203,60,0.52,76,5.86,4.08,2.554,1.209,0.101,15,1.6,Milks,Animal
24,"Milk, dry, reconstituted, low fat (1%)",1006,"Milk, lowfat",3.17,90.48,0.0,65,0.036,0.136,0.083,0.032,0.35,4,0.6,113,0.03,11,157,51,0.37,40,4.55,1.01,0.633,0.291,0.038,4,1.0,Milks,Animal
25,"Milk, dry, reconstituted, fat free (skim)",1008,"Milk, nonfat",3.2,91.34,0.0,1,0.037,0.137,0.084,0.032,0.36,4,0.6,114,0.03,11,159,51,0.37,32,4.6,0.07,0.044,0.018,0.003,2,0.0,Milks,Animal
26,"Milk, evaporated, NS as to fat content",1002,"Milk, whole",6.81,74.04,0.0,65,0.047,0.316,0.194,0.05,0.16,8,1.9,261,0.19,24,303,106,0.77,134,10.04,7.56,4.591,2.335,0.245,29,2.0,Milks,Animal
27,"Milk, evaporated, whole",1002,"Milk, whole",6.81,74.04,0.0,65,0.047,0.316,0.194,0.05,0.16,8,1.9,261,0.19,24,303,106,0.77,134,10.04,7.56,4.591,2.335,0.245,29,2.0,Milks,Animal
28,"Milk, evaporated, reduced fat (2%)",1004,"Milk, reduced fat",7.42,78.0,0.0,131,0.044,0.304,0.171,0.054,0.24,9,1.2,285,0.28,27,326,113,0.88,92,11.15,1.96,1.214,0.569,0.071,8,2.0,Milks,Animal
29,"Milk, evaporated, fat free (skim)",1008,"Milk, nonfat",7.55,79.4,0.0,118,0.045,0.309,0.174,0.055,0.24,9,1.2,290,0.29,27,332,115,0.9,78,11.35,0.2,0.121,0.062,0.006,4,2.0,Milks,Animal
30,"Milk, condensed, sweetened",1202,"Flavored milk, whole",7.91,27.16,0.0,74,0.09,0.416,0.21,0.051,0.44,11,2.6,284,0.19,26,371,127,0.94,321,54.4,8.7,5.486,2.427,0.337,34,0.2,Milks,Animal
31,"Non-dairy milk, NFS",1404,Milk substitutes,1.04,93.33,0.2,77,0.009,0.062,0.171,0.009,0.58,3,0.0,164,0.32,8,80,60,0.12,29,3.03,1.17,0.237,0.485,0.408,0,1.0,Milk Substitutes,Veggie
32,Soy milk,1404,Milk substitutes,2.6,90.36,0.2,55,0.029,0.184,0.425,0.031,1.7,9,0.0,123,0.42,15,122,47,0.26,43,3.65,1.47,0.205,0.382,0.858,0,1.1,Milk Substitutes,Veggie
33,"Soy milk, light",1404,Milk substitutes,2.38,92.69,0.3,61,0.037,0.201,0.222,0.016,2.0,9,0.0,123,0.43,15,117,48,0.23,30,2.61,0.77,0.005,0.202,0.426,0,1.2,Milk Substitutes,Veggie
34,"Soy milk, nonfat",1404,Milk substitutes,2.47,92.67,0.2,61,0.022,0.174,0.323,0.024,0.46,7,0.0,116,0.35,10,105,57,0.1,28,3.65,0.04,0.0,0.0,0.036,0,1.0,Milk Substitutes,Veggie
35,"Soy milk, chocolate",1404,Milk substitutes,2.26,85.61,0.4,70,0.022,0.262,0.513,0.077,1.4,11,1.7,126,0.48,15,143,53,0.34,63,7.86,1.53,0.24,0.379,0.836,0,1.0,Milk Substitutes,Veggie
36,"Soy milk, light, chocolate",1404,Milk substitutes,2.1,88.38,0.7,61,0.037,0.201,0.512,0.037,2.0,9,0.0,123,0.59,15,144,46,0.23,47,7.13,0.64,0.032,0.037,0.405,0,1.2,Milk Substitutes,Veggie
37,"Soy milk, nonfat, chocolate",1404,Milk substitutes,2.1,88.38,0.7,61,0.037,0.201,0.512,0.037,2.0,9,0.0,123,0.59,15,144,46,0.23,47,7.13,0.64,0.032,0.037,0.405,0,1.2,Milk Substitutes,Veggie
38,"Almond milk, sweetened",1404,Milk substitutes,0.38,92.68,0.2,86,0.0,0.01,0.067,0.0,0.0,1,0.0,177,0.27,6,64,69,0.06,30,4.77,0.93,0.077,0.566,0.23,0,1.0,Milk Substitutes,Veggie
39,"Almond milk, sweetened, chocolate",1404,Milk substitutes,0.43,89.52,0.3,83,0.0,0.011,0.071,0.0,0.0,1,0.0,171,0.3,7,67,67,0.08,41,7.72,0.95,0.098,0.561,0.224,0,0.9,Milk Substitutes,Veggie
40,"Almond milk, unsweetened",1404,Milk substitutes,0.4,96.54,0.2,90,0.0,0.01,0.07,0.0,0.0,1,0.0,184,0.28,6,67,72,0.06,15,0.81,0.96,0.08,0.59,0.24,0,1.0,Milk Substitutes,Veggie
41,"Almond milk, unsweetened, chocolate",1404,Milk substitutes,0.46,96.26,0.3,90,0.0,0.011,0.076,0.0,0.0,1,0.0,184,0.32,7,71,72,0.08,16,0.81,1.0,0.104,0.602,0.241,0,1.0,Milk Substitutes,Veggie
42,Rice milk,1404,Milk substitutes,0.28,89.28,0.3,63,0.027,0.142,0.39,0.039,1.26,2,0.0,118,0.2,11,27,39,0.13,47,5.28,0.97,0.0,0.625,0.313,0,1.0,Milk Substitutes,Veggie
43,Coconut milk,1404,Milk substitutes,0.21,94.57,0.0,63,0.0,0.0,0.0,0.0,1.26,0,0.0,188,0.3,0,19,19,0.0,31,2.5,2.08,2.083,0.0,0.0,0,1.0,Milk Substitutes,Veggie
44,"Yogurt, NFS",1820,"Yogurt, regular",5.25,85.06,0.0,14,0.044,0.214,0.114,0.049,0.56,11,0.8,183,0.08,17,234,70,0.89,63,7.04,1.55,1.0,0.426,0.044,6,1.2,Milks,Animal
45,"Yogurt, Greek, NS as to type of milk or flavor",1822,"Yogurt, Greek",9.95,83.56,0.0,90,0.044,0.233,0.197,0.055,0.52,12,0.8,115,0.04,11,141,34,0.6,73,3.56,1.92,1.23,0.486,0.076,10,0.0,Milks,Animal
46,"Yogurt, NS as to type of milk or flavor",1820,"Yogurt, regular",5.25,85.06,0.0,14,0.044,0.214,0.114,0.049,0.56,11,0.8,183,0.08,17,234,70,0.89,63,7.04,1.55,1.0,0.426,0.044,6,1.2,Milks,Animal
47,"Yogurt, NS as to type of milk, plain",1820,"Yogurt, regular",5.25,85.06,0.0,14,0.044,0.214,0.114,0.049,0.56,11,0.8,183,0.08,17,234,70,0.89,63,7.04,1.55,1.0,0.426,0.044,6,1.2,Milks,Animal
48,"Yogurt, whole milk, plain",1820,"Yogurt, regular",3.47,87.89,0.0,27,0.029,0.142,0.075,0.032,0.37,7,0.5,121,0.05,12,155,46,0.59,61,4.66,3.25,2.096,0.893,0.092,13,1.2,Milks,Animal
49,"Yogurt, low fat milk, plain",1820,"Yogurt, regular",5.25,85.06,0.0,14,0.044,0.214,0.114,0.049,0.56,11,0.8,183,0.08,17,234,70,0.89,63,7.04,1.55,1.0,0.426,0.044,6,1.2,Milks,Animal
50,"Yogurt, nonfat milk, plain",1820,"Yogurt, regular",5.73,85.22,0.0,2,0.048,0.234,0.124,0.053,0.61,12,0.9,199,0.09,19,255,77,0.97,56,7.68,0.18,0.116,0.049,0.005,2,1.2,Milks,Animal
51,"Yogurt, Greek, NS as to type of milk, plain",1822,"Yogurt, Greek",9.95,83.56,0.0,90,0.044,0.233,0.197,0.055,0.52,12,0.8,115,0.04,11,141,34,0.6,73,3.56,1.92,1.23,0.486,0.076,10,0.0,Milks,Animal
52,"Yogurt, Greek, whole milk, plain",1822,"Yogurt, Greek",9.0,81.3,0.0,2,0.023,0.278,0.208,0.063,0.75,5,0.0,100,0.0,11,141,35,0.52,97,4.0,5.0,2.395,2.136,0.469,13,0.0,Milks,Animal
53,"Yogurt, Greek, low fat milk, plain",1822,"Yogurt, Greek",9.95,83.56,0.0,90,0.044,0.233,0.197,0.055,0.52,12,0.8,115,0.04,11,141,34,0.6,73,3.56,1.92,1.23,0.486,0.076,10,0.0,Milks,Animal
54,"Yogurt, Greek, nonfat milk, plain",1822,"Yogurt, Greek",10.3,85.0,0.0,1,0.022,0.281,0.211,0.064,0.7,7,0.0,111,0.07,11,141,36,0.53,61,3.27,0.37,0.108,0.043,0.011,5,0.0,Milks,Animal
55,"Yogurt, NS as to type of milk, fruit",1820,"Yogurt, regular",4.66,78.51,0.1,12,0.041,0.197,0.105,0.046,0.49,11,1.8,163,0.13,15,215,65,0.79,89,12.01,1.37,0.881,0.379,0.039,5,1.2,Milks,Animal
56,"Yogurt, whole milk, fruit",1820,"Yogurt, regular",3.1,81.0,0.1,24,0.027,0.134,0.07,0.031,0.33,7,1.5,109,0.1,11,146,44,0.53,87,9.92,2.87,1.845,0.79,0.081,11,1.2,Milks,Animal
57,"Yogurt, low fat milk, fruit",1820,"Yogurt, regular",4.66,78.51,0.1,12,0.041,0.197,0.105,0.046,0.49,11,1.8,163,0.13,15,215,65,0.79,89,12.01,1.37,0.881,0.379,0.039,5,1.2,Milks,Animal
58,"Yogurt, nonfat milk, fruit",1820,"Yogurt, regular",5.09,78.65,0.1,2,0.044,0.215,0.113,0.049,0.54,12,1.8,177,0.14,17,234,72,0.86,83,12.58,0.17,0.103,0.048,0.004,2,1.2,Milks,Animal
59,"Yogurt, Greek, NS as to type of milk, fruit",1822,"Yogurt, Greek",8.17,76.41,1.0,31,0.037,0.235,0.205,0.049,0.5,9,0.7,88,0.07,10,129,33,0.41,105,11.23,2.57,1.599,0.65,0.113,12,0.9,Milks,Animal
60,"Yogurt, Greek, whole milk, fruit",1822,"Yogurt, Greek",7.33,76.81,0.0,46,0.046,0.235,0.205,0.049,0.5,5,0.0,100,0.0,10,113,37,0.41,106,12.0,3.0,1.599,1.265,0.219,10,0.9,Milks,Animal
61,"Yogurt, Greek, low fat milk, fruit",1822,"Yogurt, Greek",8.17,76.41,1.0,31,0.037,0.235,0.205,0.049,0.5,9,0.7,88,0.07,10,129,33,0.41,105,11.23,2.57,1.599,0.65,0.113,12,0.9,Milks,Animal
62,"Yogurt, Greek, nonfat milk, fruit",1822,"Yogurt, Greek",8.06,79.0,0.6,0,0.037,0.25,0.208,0.05,0.45,20,0.2,97,0.09,10,133,32,0.46,83,11.5,0.15,0.103,0.029,0.021,4,0.9,Milks,Animal
63,"Yogurt, NS as to type of milk, flavors other than fruit",1820,"Yogurt, regular",5.09,82.51,0.0,14,0.043,0.208,0.111,0.048,0.54,11,0.8,178,0.08,16,227,68,0.86,73,9.82,1.51,0.97,0.413,0.043,6,1.2,Milks,Animal
64,"Yogurt, whole milk, flavors other than fruit",1820,"Yogurt, regular",3.3,83.5,0.0,26,0.028,0.136,0.071,0.03,0.35,7,0.5,115,0.05,11,147,44,0.56,77,9.42,3.1,1.991,0.848,0.087,12,1.2,Milks,Animal
65,"Yogurt, low fat milk, flavors other than fruit",1820,"Yogurt, regular",5.09,82.51,0.0,14,0.043,0.208,0.111,0.048,0.54,11,0.8,178,0.08,16,227,68,0.86,73,9.82,1.51,0.97,0.413,0.043,6,1.2,Milks,Animal
66,"Yogurt, nonfat milk, flavors other than fruit",1820,"Yogurt, regular",5.56,82.66,0.0,2,0.047,0.228,0.12,0.051,0.59,12,0.9,193,0.09,18,247,75,0.94,66,10.44,0.18,0.113,0.048,0.005,2,1.2,Milks,Animal
67,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1822,"Yogurt, Greek",8.64,78.76,0.0,110,0.038,0.24,0.201,0.05,0.64,9,0.0,100,0.04,10,123,40,0.46,95,9.54,2.5,1.465,0.846,0.203,5,0.9,Milks,Animal
68,"Yogurt, Greek, whole milk, flavors other than fruit",1822,"Yogurt, Greek",8.47,77.19,0.0,125,0.037,0.235,0.197,0.049,0.63,9,0.0,98,0.04,10,121,39,0.45,111,9.35,4.44,2.674,1.404,0.273,10,0.9,Milks,Animal
69,"Yogurt, Greek, low fat milk, flavors other than fruit",1822,"Yogurt, Greek",8.64,78.76,0.0,110,0.038,0.24,0.201,0.05,0.64,9,0.0,100,0.04,10,123,40,0.46,95,9.54,2.5,1.465,0.846,0.203,5,0.9,Milks,Animal
70,"Yogurt, Greek, nonfat milk, flavors other than fruit",1822,"Yogurt, Greek",8.64,80.26,0.5,0,0.042,0.24,0.201,0.05,0.64,11,0.0,99,0.04,10,123,34,0.46,78,9.54,0.18,0.133,0.039,0.009,3,0.9,Milks,Animal
71,"Yogurt, Greek, with oats",1822,"Yogurt, Greek",8.9,63.61,1.9,88,0.094,0.23,0.511,0.077,0.53,13,0.1,96,0.64,27,184,53,0.75,160,12.07,4.29,1.478,1.629,0.915,4,0.7,Milks,Animal
72,"Yogurt, liquid",1820,"Yogurt, regular",3.71,82.57,0.1,10,0.032,0.157,0.083,0.036,0.39,9,1.4,131,0.1,12,171,53,0.63,72,9.78,1.09,0.701,0.302,0.031,4,1.2,Milks,Animal
73,"Chipotle dip, yogurt based",8412,"Dips, gravies, other sauces",7.93,70.61,0.0,74,0.037,0.186,0.177,0.054,0.43,11,3.4,92,0.09,9,119,636,0.5,189,2.97,15.99,3.219,3.638,8.716,16,0.0,,
74,"Dill dip, yogurt based",8412,"Dips, gravies, other sauces",8.16,69.81,0.3,74,0.038,0.207,0.25,0.054,0.43,12,1.9,103,0.29,13,141,641,0.55,191,2.99,16.03,3.232,3.645,8.742,16,0.0,,
75,"Onion dip, yogurt based",8412,"Dips, gravies, other sauces",6.82,74.42,0.2,66,0.041,0.168,0.147,0.054,0.42,10,1.1,93,0.08,10,126,507,0.47,159,3.38,12.88,2.713,2.928,6.865,14,0.2,,
76,"Ranch dip, yogurt based",8412,"Dips, gravies, other sauces",8.48,69.0,0.3,74,0.042,0.222,0.257,0.056,0.46,12,1.9,114,0.29,14,154,646,0.58,195,3.41,16.09,3.267,3.661,8.744,17,0.0,,
77,"Spinach dip, yogurt based",8412,"Dips, gravies, other sauces",7.02,74.55,0.3,112,0.043,0.179,0.17,0.054,0.42,17,0.7,103,0.21,15,136,514,0.49,158,3.04,12.94,2.721,2.927,6.892,14,0.2,,
78,Tzatziki dip,8412,"Dips, gravies, other sauces",5.35,83.08,0.2,3,0.025,0.169,0.16,0.06,0.42,6,2.0,64,0.14,11,139,307,0.38,92,2.92,6.31,1.838,3.724,0.641,7,0.0,,
79,"Vegetable dip, yogurt based",8412,"Dips, gravies, other sauces",8.16,69.81,0.3,74,0.038,0.207,0.25,0.054,0.43,12,1.9,103,0.29,13,141,641,0.55,191,2.99,16.03,3.232,3.645,8.742,16,0.0,,
80,"Yogurt parfait, low fat, with fruit",1820,"Yogurt, regular",3.36,78.97,1.1,30,0.07,0.173,0.714,0.233,1.46,51,14.3,105,0.49,17,189,49,0.89,84,11.68,1.01,0.525,0.307,0.122,3,1.2,Milks,Animal
81,"Frozen yogurt, NFS",5802,Ice cream and frozen dairy desserts,3.0,71.2,0.0,49,0.04,0.18,0.07,0.04,0.07,4,0.7,100,0.46,10,156,63,0.28,127,19.92,3.6,2.326,0.986,0.1,13,0.1,,
82,"Frozen yogurt, vanilla",5802,Ice cream and frozen dairy desserts,3.0,71.2,0.0,49,0.04,0.18,0.07,0.04,0.07,4,0.7,100,0.46,10,156,63,0.28,127,19.92,3.6,2.326,0.986,0.1,13,0.1,,
83,"Frozen yogurt, chocolate",5802,Ice cream and frozen dairy desserts,3.0,71.2,2.3,39,0.04,0.18,0.14,0.04,0.07,12,0.0,100,0.46,25,234,63,0.28,131,19.24,3.6,2.272,0.961,0.102,13,0.1,,
84,"Frozen yogurt, soft serve, vanilla",5802,Ice cream and frozen dairy desserts,4.0,65.3,0.0,59,0.037,0.224,0.287,0.08,0.29,6,0.8,143,0.3,14,211,87,0.42,159,24.0,5.6,3.42,1.59,0.21,2,0.1,,
85,"Frozen yogurt, soft serve, chocolate",5802,Ice cream and frozen dairy desserts,4.31,64.05,0.7,58,0.038,0.224,0.325,0.081,0.28,7,0.8,143,0.57,24,237,86,0.55,160,23.56,5.76,3.513,1.65,0.215,2,0.1,,
86,Frozen yogurt sandwich,5802,Ice cream and frozen dairy desserts,3.9,54.52,0.8,38,0.081,0.202,0.767,0.043,0.08,15,0.5,83,1.35,21,170,192,0.48,204,24.3,6.25,2.805,1.956,1.113,10,0.1,,
87,"Frozen yogurt bar, vanilla",5802,Ice cream and frozen dairy desserts,3.0,71.2,0.0,49,0.04,0.18,0.07,0.04,0.07,4,0.7,100,0.46,10,156,63,0.28,127,19.92,3.6,2.326,0.986,0.1,13,0.1,,
88,"Frozen yogurt bar, chocolate",5802,Ice cream and frozen dairy desserts,3.0,71.2,2.3,39,0.04,0.18,0.14,0.04,0.07,12,0.0,100,0.46,25,234,63,0.28,131,19.24,3.6,2.272,0.961,0.102,13,0.1,,
89,"Frozen yogurt cone, chocolate",5802,Ice cream and frozen dairy desserts,3.2,68.56,2.3,37,0.048,0.187,0.311,0.04,0.07,18,0.0,97,0.59,25,229,71,0.3,142,18.71,3.73,2.23,0.996,0.228,12,0.1,,
90,"Frozen yogurt cone, vanilla",5802,Ice cream and frozen dairy desserts,3.2,68.56,0.1,47,0.048,0.187,0.244,0.04,0.07,11,0.7,97,0.59,11,154,71,0.3,139,19.36,3.73,2.282,1.02,0.227,12,0.1,,
91,"Frozen yogurt cone, vanilla, waffle cone",5802,Ice cream and frozen dairy desserts,3.29,67.19,0.1,46,0.068,0.193,0.364,0.041,0.07,12,0.7,97,0.69,11,155,77,0.31,143,20.26,3.61,2.223,1.014,0.18,12,0.1,,
92,"Frozen yogurt cone, chocolate, waffle cone",5802,Ice cream and frozen dairy desserts,3.29,67.19,2.3,37,0.068,0.193,0.43,0.041,0.07,20,0.0,97,0.69,25,229,77,0.31,147,19.62,3.61,2.172,0.991,0.181,12,0.1,,
93,"Yogurt, whole milk, baby food",9010,Baby food: yogurt,3.47,87.89,0.0,27,0.029,0.142,0.075,0.032,0.37,7,0.5,121,0.05,12,155,46,0.59,61,4.66,3.25,2.096,0.893,0.092,13,1.2,,
94,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",9010,Baby food: yogurt,3.4,79.16,0.3,24,0.047,0.129,0.119,0.034,0.32,8,1.4,107,0.15,15,149,41,0.59,98,11.46,3.53,1.84,0.916,0.367,14,0.1,,
95,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",9010,Baby food: yogurt,3.05,80.21,0.6,22,0.048,0.12,0.119,0.036,0.29,7,3.6,98,4.18,15,143,38,0.54,92,11.46,3.08,1.582,0.74,0.405,10,0.0,,
96,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",9010,Baby food: yogurt,3.4,79.16,0.3,24,0.047,0.129,0.119,0.034,0.32,8,1.4,107,0.15,15,149,41,0.59,98,11.46,3.53,1.84,0.916,0.367,14,0.1,,
97,"Chocolate milk, NFS",1208,"Flavored milk, nonfat",3.39,82.34,0.0,64,0.045,0.166,0.164,0.024,0.32,2,1.0,127,0.27,13,182,79,0.41,67,8.39,0.0,0.0,0.0,0.0,2,1.1,,
98,"Chocolate milk, ready to drink, whole",1202,"Flavored milk, whole",3.17,82.3,0.8,27,0.037,0.162,0.125,0.04,0.33,5,0.9,112,0.24,13,167,60,0.41,83,9.54,3.39,2.104,0.99,0.124,12,1.3,Milks,Animal
99,"Chocolate milk, ready to drink, reduced fat",1204,"Flavored milk, reduced fat",2.99,82.17,0.7,64,0.045,0.183,0.164,0.024,0.33,2,0.0,109,0.24,14,169,66,0.39,76,9.55,1.9,1.177,0.455,0.089,8,1.2,,
100,"Chocolate milk, ready to drink, fat free",1208,"Flavored milk, nonfat",3.39,82.34,0.0,64,0.045,0.166,0.164,0.024,0.32,2,1.0,127,0.27,13,182,79,0.41,67,8.39,0.0,0.0,0.0,0.0,2,1.1,,
101,"Chocolate milk, ready to drink, low fat",1206,"Flavored milk, lowfat",3.46,84.5,0.1,52,0.031,0.247,0.124,0.047,0.23,3,0.4,129,0.23,13,172,65,0.43,64,9.94,1.11,0.616,0.3,0.049,5,1.1,,
102,"Chocolate milk, ready to drink, reduced sugar, NS as to milk",1206,"Flavored milk, lowfat",3.43,87.09,0.0,96,0.035,0.225,0.122,0.05,0.2,5,0.0,122,0.16,13,168,66,0.46,57,7.29,1.04,0.616,0.29,0.054,5,1.5,,
103,"Chocolate milk, ready to drink, low fat (Nesquik)",1206,"Flavored milk, lowfat",3.46,84.5,0.1,52,0.031,0.247,0.124,0.047,0.23,3,0.4,129,0.23,13,172,65,0.43,64,9.94,1.11,0.616,0.3,0.049,5,1.1,,
104,"Chocolate milk, ready to drink, fat free (Nesquik)",1208,"Flavored milk, nonfat",3.39,82.34,0.0,64,0.045,0.166,0.164,0.024,0.32,2,1.0,127,0.27,13,182,79,0.41,67,8.39,0.0,0.0,0.0,0.0,2,1.1,,
105,"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)",1206,"Flavored milk, lowfat",3.46,84.5,0.1,52,0.031,0.247,0.124,0.047,0.23,3,0.4,129,0.23,13,172,65,0.43,64,9.94,1.11,0.616,0.3,0.049,5,1.1,,
106,"Hot chocolate / Cocoa, ready to drink",1204,"Flavored milk, reduced fat",2.72,78.43,0.0,68,0.047,0.117,0.123,0.049,0.42,2,0.2,102,0.0,17,152,60,0.45,91,15.18,1.54,0.903,0.325,0.047,7,0.9,,
107,"Hot chocolate / Cocoa, ready to drink, made with nonfat milk",1208,"Flavored milk, nonfat",2.79,79.81,0.0,52,0.044,0.112,0.128,0.046,0.45,2,0.0,107,0.0,18,159,61,0.47,78,15.31,0.06,0.04,0.014,0.005,2,0.9,,
108,"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",1404,Milk substitutes,1.21,80.39,0.2,58,0.013,0.085,0.232,0.014,0.7,5,0.0,122,0.28,16,99,75,0.23,80,14.62,0.98,0.115,0.386,0.442,0,0.8,Milk Substitutes,Veggie
